2019-06-25 16:55:15,703 args = Namespace(batch_size=64, data='./data', epochs=5, learning_rate=0.025, save='logs', seed=2, weight_decay=0.0003)
2019-06-25 16:57:03,438 args = Namespace(batch_size=64, data='./data', epochs=5, learning_rate=0.025, save='logs', seed=2, weight_decay=0.0003)
2019-06-25 16:57:26,627 param size = 0.046234MB
2019-06-25 16:57:26,628 Starting epoch 1/5
2019-06-25 16:57:28,037 train mini-batch 000, loss=2.308391e+00 accuracy=10.937500
2019-06-25 16:57:28,605 train mini-batch 001, loss=2.331769e+00 accuracy=12.500000
2019-06-25 16:57:29,170 train mini-batch 002, loss=2.309547e+00 accuracy=14.062500
2019-06-25 16:57:29,743 train mini-batch 003, loss=2.310692e+00 accuracy=12.890625
2019-06-25 16:57:30,316 train mini-batch 004, loss=2.311741e+00 accuracy=11.250000
2019-06-25 16:57:30,886 train mini-batch 005, loss=2.303448e+00 accuracy=11.458333
2019-06-25 16:57:31,456 train mini-batch 006, loss=2.291882e+00 accuracy=12.276786
2019-06-25 16:57:32,026 train mini-batch 007, loss=2.287846e+00 accuracy=13.085938
2019-06-25 16:57:32,594 train mini-batch 008, loss=2.285921e+00 accuracy=13.715278
2019-06-25 16:57:33,164 train mini-batch 009, loss=2.274229e+00 accuracy=15.000000
2019-06-25 16:57:33,728 train mini-batch 010, loss=2.270570e+00 accuracy=15.767045
2019-06-25 16:57:34,293 train mini-batch 011, loss=2.270559e+00 accuracy=15.755208
2019-06-25 16:57:34,858 train mini-batch 012, loss=2.266856e+00 accuracy=16.105769
2019-06-25 16:57:35,421 train mini-batch 013, loss=2.265208e+00 accuracy=15.513393
2019-06-25 16:57:35,985 train mini-batch 014, loss=2.262795e+00 accuracy=15.625000
2019-06-25 16:57:36,548 train mini-batch 015, loss=2.257439e+00 accuracy=16.308594
2019-06-25 16:57:37,105 train mini-batch 016, loss=2.252642e+00 accuracy=16.819853
2019-06-25 16:57:37,671 train mini-batch 017, loss=2.246794e+00 accuracy=17.447917
2019-06-25 16:57:38,237 train mini-batch 018, loss=2.239118e+00 accuracy=18.421053
2019-06-25 16:57:38,802 train mini-batch 019, loss=2.232106e+00 accuracy=18.984375
2019-06-25 16:57:39,366 train mini-batch 020, loss=2.224605e+00 accuracy=19.866071
2019-06-25 16:57:39,935 train mini-batch 021, loss=2.218750e+00 accuracy=20.312500
2019-06-25 16:57:40,499 train mini-batch 022, loss=2.211560e+00 accuracy=20.584239
2019-06-25 16:57:41,071 train mini-batch 023, loss=2.204248e+00 accuracy=20.963542
2019-06-25 16:57:41,637 train mini-batch 024, loss=2.198403e+00 accuracy=21.187500
2019-06-25 16:57:42,329 train mini-batch 025, loss=2.191626e+00 accuracy=21.334135
2019-06-25 16:57:42,939 train mini-batch 026, loss=2.183501e+00 accuracy=21.527778
2019-06-25 16:57:43,691 train mini-batch 027, loss=2.174470e+00 accuracy=22.042411
2019-06-25 16:57:44,256 train mini-batch 028, loss=2.165847e+00 accuracy=22.413793
2019-06-25 16:57:44,825 train mini-batch 029, loss=2.160200e+00 accuracy=22.604167
2019-06-25 16:57:45,402 train mini-batch 030, loss=2.158686e+00 accuracy=22.429435
2019-06-25 16:57:45,993 train mini-batch 031, loss=2.151060e+00 accuracy=22.753906
2019-06-25 16:57:46,567 train mini-batch 032, loss=2.147108e+00 accuracy=22.537879
2019-06-25 16:57:47,136 train mini-batch 033, loss=2.138169e+00 accuracy=22.702206
2019-06-25 16:57:47,700 train mini-batch 034, loss=2.127824e+00 accuracy=23.125000
2019-06-25 16:57:48,266 train mini-batch 035, loss=2.123939e+00 accuracy=23.133681
2019-06-25 16:57:48,831 train mini-batch 036, loss=2.120829e+00 accuracy=23.099662
2019-06-25 16:57:49,397 train mini-batch 037, loss=2.111696e+00 accuracy=23.314145
2019-06-25 16:57:49,956 train mini-batch 038, loss=2.102927e+00 accuracy=23.677885
2019-06-25 16:57:50,516 train mini-batch 039, loss=2.096439e+00 accuracy=23.867188
2019-06-25 16:57:51,080 train mini-batch 040, loss=2.088303e+00 accuracy=24.123476
2019-06-25 16:57:51,643 train mini-batch 041, loss=2.080092e+00 accuracy=24.516369
2019-06-25 16:57:52,208 train mini-batch 042, loss=2.071850e+00 accuracy=24.818314
2019-06-25 16:57:52,772 train mini-batch 043, loss=2.066221e+00 accuracy=25.177557
2019-06-25 16:57:53,410 train mini-batch 044, loss=2.061348e+00 accuracy=25.208333
2019-06-25 16:57:54,010 train mini-batch 045, loss=2.053219e+00 accuracy=25.747283
2019-06-25 16:57:54,602 train mini-batch 046, loss=2.047143e+00 accuracy=25.897606
2019-06-25 16:57:55,174 train mini-batch 047, loss=2.043530e+00 accuracy=25.911458
2019-06-25 16:57:55,749 train mini-batch 048, loss=2.039622e+00 accuracy=25.956633
2019-06-25 16:57:56,322 train mini-batch 049, loss=2.033212e+00 accuracy=26.187500
2019-06-25 16:57:56,897 train mini-batch 050, loss=2.026804e+00 accuracy=26.378676
2019-06-25 16:57:57,464 train mini-batch 051, loss=2.019531e+00 accuracy=26.622596
2019-06-25 16:57:58,035 train mini-batch 052, loss=2.011528e+00 accuracy=26.975236
2019-06-25 16:57:58,607 train mini-batch 053, loss=2.003956e+00 accuracy=27.228009
2019-06-25 16:57:59,177 train mini-batch 054, loss=1.999828e+00 accuracy=27.301136
2019-06-25 16:57:59,750 train mini-batch 055, loss=1.993550e+00 accuracy=27.566964
2019-06-25 16:58:00,325 train mini-batch 056, loss=1.986536e+00 accuracy=27.905702
2019-06-25 16:58:00,897 train mini-batch 057, loss=1.982541e+00 accuracy=28.098060
2019-06-25 16:58:01,471 train mini-batch 058, loss=1.978562e+00 accuracy=28.283898
2019-06-25 16:58:02,043 train mini-batch 059, loss=1.971469e+00 accuracy=28.645833
2019-06-25 16:58:02,620 train mini-batch 060, loss=1.968900e+00 accuracy=28.893443
2019-06-25 16:58:03,363 train mini-batch 061, loss=1.966158e+00 accuracy=29.032258
2019-06-25 16:58:04,194 train mini-batch 062, loss=1.961797e+00 accuracy=28.993056
2019-06-25 16:58:04,985 train mini-batch 063, loss=1.957561e+00 accuracy=29.296875
2019-06-25 16:58:05,788 train mini-batch 064, loss=1.953572e+00 accuracy=29.278846
2019-06-25 16:58:06,367 train mini-batch 065, loss=1.947665e+00 accuracy=29.356061
2019-06-25 16:58:06,952 train mini-batch 066, loss=1.942604e+00 accuracy=29.361007
2019-06-25 16:58:07,549 train mini-batch 067, loss=1.938348e+00 accuracy=29.388787
2019-06-25 16:58:08,221 train mini-batch 068, loss=1.932802e+00 accuracy=29.642210
2019-06-25 16:58:08,822 train mini-batch 069, loss=1.926066e+00 accuracy=29.888393
2019-06-25 16:58:09,479 train mini-batch 070, loss=1.921972e+00 accuracy=29.973592
2019-06-25 16:58:10,271 train mini-batch 071, loss=1.917593e+00 accuracy=30.338542
2019-06-25 16:58:10,988 train mini-batch 072, loss=1.913010e+00 accuracy=30.522260
2019-06-25 16:58:11,682 train mini-batch 073, loss=1.907810e+00 accuracy=30.722128
2019-06-25 16:58:12,428 train mini-batch 074, loss=1.903324e+00 accuracy=30.937500
2019-06-25 16:58:13,275 train mini-batch 075, loss=1.897871e+00 accuracy=31.085526
2019-06-25 16:58:14,118 train mini-batch 076, loss=1.894356e+00 accuracy=31.148539
2019-06-25 16:58:14,779 train mini-batch 077, loss=1.890105e+00 accuracy=31.350160
2019-06-25 16:58:15,374 train mini-batch 078, loss=1.886661e+00 accuracy=31.388449
2019-06-25 16:58:16,097 train mini-batch 079, loss=1.881412e+00 accuracy=31.621094
2019-06-25 16:58:16,817 train mini-batch 080, loss=1.877985e+00 accuracy=31.790123
2019-06-25 16:58:17,540 train mini-batch 081, loss=1.873337e+00 accuracy=32.088415
2019-06-25 16:58:18,262 train mini-batch 082, loss=1.869287e+00 accuracy=32.247741
2019-06-25 16:58:18,982 train mini-batch 083, loss=1.865199e+00 accuracy=32.440476
2019-06-25 16:58:19,679 train mini-batch 084, loss=1.861305e+00 accuracy=32.555147
2019-06-25 16:58:20,337 train mini-batch 085, loss=1.856995e+00 accuracy=32.630814
2019-06-25 16:58:20,986 train mini-batch 086, loss=1.854010e+00 accuracy=32.758621
2019-06-25 16:58:21,760 train mini-batch 087, loss=1.849566e+00 accuracy=32.848011
2019-06-25 16:58:22,421 train mini-batch 088, loss=1.843763e+00 accuracy=33.163624
2019-06-25 16:58:23,038 train mini-batch 089, loss=1.838744e+00 accuracy=33.333333
2019-06-25 16:58:23,704 train mini-batch 090, loss=1.833883e+00 accuracy=33.619505
2019-06-25 16:58:24,427 train mini-batch 091, loss=1.829370e+00 accuracy=33.780571
2019-06-25 16:58:25,160 train mini-batch 092, loss=1.824484e+00 accuracy=34.055780
2019-06-25 16:58:26,100 train mini-batch 093, loss=1.820011e+00 accuracy=34.192154
2019-06-25 16:58:26,865 train mini-batch 094, loss=1.815192e+00 accuracy=34.407895
2019-06-25 16:58:27,778 train mini-batch 095, loss=1.811379e+00 accuracy=34.521484
2019-06-25 16:58:28,546 train mini-batch 096, loss=1.807052e+00 accuracy=34.697165
2019-06-25 16:58:29,302 train mini-batch 097, loss=1.803283e+00 accuracy=34.869260
2019-06-25 16:58:29,944 train mini-batch 098, loss=1.798750e+00 accuracy=35.053662
2019-06-25 16:58:30,541 train mini-batch 099, loss=1.796778e+00 accuracy=35.125000
2019-06-25 16:58:31,179 train mini-batch 100, loss=1.792506e+00 accuracy=35.349629
2019-06-25 16:58:31,906 train mini-batch 101, loss=1.788203e+00 accuracy=35.569853
2019-06-25 16:58:32,506 train mini-batch 102, loss=1.785257e+00 accuracy=35.694782
2019-06-25 16:58:33,116 train mini-batch 103, loss=1.780804e+00 accuracy=35.832332
2019-06-25 16:58:33,728 train mini-batch 104, loss=1.776382e+00 accuracy=36.041667
2019-06-25 16:58:34,336 train mini-batch 105, loss=1.772409e+00 accuracy=36.232311
2019-06-25 16:58:34,948 train mini-batch 106, loss=1.768914e+00 accuracy=36.331776
2019-06-25 16:58:35,550 train mini-batch 107, loss=1.764514e+00 accuracy=36.559606
2019-06-25 16:58:36,131 train mini-batch 108, loss=1.760646e+00 accuracy=36.740252
2019-06-25 16:58:36,709 train mini-batch 109, loss=1.757178e+00 accuracy=36.875000
2019-06-25 16:58:37,291 train mini-batch 110, loss=1.751835e+00 accuracy=37.049550
2019-06-25 16:58:37,867 train mini-batch 111, loss=1.749168e+00 accuracy=37.151228
2019-06-25 16:58:38,443 train mini-batch 112, loss=1.745450e+00 accuracy=37.320243
2019-06-25 16:58:39,020 train mini-batch 113, loss=1.742602e+00 accuracy=37.486294
2019-06-25 16:58:39,604 train mini-batch 114, loss=1.738633e+00 accuracy=37.608696
2019-06-25 16:58:40,211 train mini-batch 115, loss=1.735171e+00 accuracy=37.782866
2019-06-25 16:58:40,794 train mini-batch 116, loss=1.731242e+00 accuracy=37.980769
2019-06-25 16:58:41,363 train mini-batch 117, loss=1.727574e+00 accuracy=38.135593
2019-06-25 16:58:41,970 train mini-batch 118, loss=1.723954e+00 accuracy=38.353466
2019-06-25 16:58:42,552 train mini-batch 119, loss=1.720817e+00 accuracy=38.437500
2019-06-25 16:58:43,160 train mini-batch 120, loss=1.718519e+00 accuracy=38.533058
2019-06-25 16:58:43,755 train mini-batch 121, loss=1.715512e+00 accuracy=38.627049
2019-06-25 16:58:44,331 train mini-batch 122, loss=1.711297e+00 accuracy=38.859248
2019-06-25 16:58:44,906 train mini-batch 123, loss=1.710076e+00 accuracy=38.898690
2019-06-25 16:58:45,484 train mini-batch 124, loss=1.707645e+00 accuracy=39.000000
2019-06-25 16:58:46,063 train mini-batch 125, loss=1.703254e+00 accuracy=39.223710
2019-06-25 16:58:46,640 train mini-batch 126, loss=1.698946e+00 accuracy=39.431594
2019-06-25 16:58:47,223 train mini-batch 127, loss=1.696835e+00 accuracy=39.538574
2019-06-25 16:58:47,823 train mini-batch 128, loss=1.694502e+00 accuracy=39.619671
2019-06-25 16:58:48,435 train mini-batch 129, loss=1.690543e+00 accuracy=39.759615
2019-06-25 16:58:49,041 train mini-batch 130, loss=1.685568e+00 accuracy=39.968989
2019-06-25 16:58:49,672 train mini-batch 131, loss=1.682368e+00 accuracy=40.044981
2019-06-25 16:58:50,282 train mini-batch 132, loss=1.678842e+00 accuracy=40.202068
2019-06-25 16:58:50,891 train mini-batch 133, loss=1.675573e+00 accuracy=40.310168
2019-06-25 16:58:51,598 train mini-batch 134, loss=1.672131e+00 accuracy=40.509259
2019-06-25 16:58:52,253 train mini-batch 135, loss=1.666914e+00 accuracy=40.728401
2019-06-25 16:58:52,831 train mini-batch 136, loss=1.662478e+00 accuracy=40.944343
2019-06-25 16:58:53,429 train mini-batch 137, loss=1.658361e+00 accuracy=41.123188
2019-06-25 16:58:54,051 train mini-batch 138, loss=1.654472e+00 accuracy=41.265737
2019-06-25 16:58:54,629 train mini-batch 139, loss=1.650156e+00 accuracy=41.495536
2019-06-25 16:58:55,207 train mini-batch 140, loss=1.648605e+00 accuracy=41.555851
2019-06-25 16:58:55,801 train mini-batch 141, loss=1.645061e+00 accuracy=41.703345
2019-06-25 16:58:56,411 train mini-batch 142, loss=1.641250e+00 accuracy=41.859703
2019-06-25 16:58:57,021 train mini-batch 143, loss=1.637866e+00 accuracy=41.959635
2019-06-25 16:58:57,628 train mini-batch 144, loss=1.634185e+00 accuracy=42.155172
2019-06-25 16:58:58,238 train mini-batch 145, loss=1.631692e+00 accuracy=42.241010
2019-06-25 16:58:58,849 train mini-batch 146, loss=1.628142e+00 accuracy=42.389456
2019-06-25 16:58:59,458 train mini-batch 147, loss=1.626122e+00 accuracy=42.461993
2019-06-25 16:59:00,036 train mini-batch 148, loss=1.622594e+00 accuracy=42.638423
2019-06-25 16:59:00,617 train mini-batch 149, loss=1.619972e+00 accuracy=42.687500
2019-06-25 16:59:01,197 train mini-batch 150, loss=1.618271e+00 accuracy=42.777318
2019-06-25 16:59:01,780 train mini-batch 151, loss=1.614346e+00 accuracy=42.948191
2019-06-25 16:59:02,350 train mini-batch 152, loss=1.610568e+00 accuracy=43.086193
2019-06-25 16:59:02,918 train mini-batch 153, loss=1.606751e+00 accuracy=43.202110
2019-06-25 16:59:03,483 train mini-batch 154, loss=1.603685e+00 accuracy=43.256048
2019-06-25 16:59:04,078 train mini-batch 155, loss=1.600316e+00 accuracy=43.399439
2019-06-25 16:59:04,690 train mini-batch 156, loss=1.598489e+00 accuracy=43.461385
2019-06-25 16:59:05,295 train mini-batch 157, loss=1.596585e+00 accuracy=43.562104
2019-06-25 16:59:05,920 train mini-batch 158, loss=1.593472e+00 accuracy=43.651730
2019-06-25 16:59:06,510 train mini-batch 159, loss=1.591330e+00 accuracy=43.681641
2019-06-25 16:59:07,125 train mini-batch 160, loss=1.587611e+00 accuracy=43.827640
2019-06-25 16:59:07,783 train mini-batch 161, loss=1.583756e+00 accuracy=43.971836
2019-06-25 16:59:08,508 train mini-batch 162, loss=1.580565e+00 accuracy=44.123850
2019-06-25 16:59:09,143 train mini-batch 163, loss=1.576452e+00 accuracy=44.283537
2019-06-25 16:59:09,826 train mini-batch 164, loss=1.574084e+00 accuracy=44.356061
2019-06-25 16:59:10,547 train mini-batch 165, loss=1.570412e+00 accuracy=44.531250
